Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_05	Library_06	Library_13	Library_14	Library_21	Library_22	Library_29	Library_30	Library_38
URS00008C7CF0_10116:rRNA:Rattus_norvegicus	NA	338	464	753	205	555	192	439	701	210	298	6589	770	255	13536	2933	21701	5870	1730	30584
URS00008C7F7F_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	104	204	13	263	130	1664	266	70	2059
URS00008C8501_10116:rRNA:Rattus_norvegicus	NA	5	9	7	3	17	5	14	18	1	4	23	38	6	37	33	82	62	17	262
URS00008C8B6E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	11	0	0	67	5	44	13	1	10
URS00008C9565_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	25	11	1	5	26	32	7	41	44	102	68	20	285
URS00008C96FC_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	1	1	0	6	2	34	10	1	13
URS00008CA36B_10116:rRNA:Rattus_norvegicus	NA	640	520	2114	365	1045	548	882	1805	576	642	8839	2749	371	16158	7390	51904	13449	3425	58747
URS00008CA49B_10116:rRNA:Rattus_norvegicus	NA	424	522	877	241	652	242	607	825	217	310	7501	883	293	15904	3687	24134	6840	2099	31721
URS00008CAA77_10116:rRNA:Rattus_norvegicus	NA	1013	774	3277	577	1545	691	1038	3003	749	999	14325	4179	560	34318	11206	109747	21786	5627	167956
URS00008CAD43_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	7	8	1	39	5	216	55	10	143
URS00008CB01C_10116:rRNA:Rattus_norvegicus	NA	589	527	1945	337	972	515	801	1540	543	563	8092	2128	351	14709	6842	48664	12703	3138	48670
URS00008CB13B_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	560	1	1	1375	160	356	391	17	524
URS00008CB4B4_10116:rRNA:Rattus_norvegicus	NA	2	7	3	1	2	1	0	2	76	0	109	0	0	187	31	141	73	27	187
URS00008CB5BD_10116:rRNA:Rattus_norvegicus	NA	328	312	712	172	503	188	519	705	187	257	6372	749	247	13909	3183	21697	6040	1804	27345
URS00008CB810_10116:rRNA:Rattus_norvegicus	NA	418	520	880	237	650	245	609	843	216	320	7520	1004	293	15965	3685	24868	6917	2104	32080
URS00008CBA26_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	3	3	2	3	0	0	3	10	3	40	3	238	66	10	208
URS00008CBDB7_10116:rRNA:Rattus_norvegicus	NA	609	540	2186	399	1018	510	826	1755	612	650	9018	2674	374	16465	7310	53470	13941	3423	54760
URS00008CC199_10116:rRNA:Rattus_norvegicus	NA	664	598	2355	413	1141	586	924	1910	523	702	10050	2700	443	19273	8093	64554	15913	3756	73246
URS00008CC51F_10116:rRNA:Rattus_norvegicus	NA	614	509	2018	347	1002	523	840	1704	558	596	8542	2610	358	15311	7133	48008	12958	3290	53164
URS00008CC58A_10116:rRNA:Rattus_norvegicus	NA	413	505	843	227	612	230	558	827	208	289	7347	966	260	15500	3574	23865	6570	2040	31966
URS00008CD1C6_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	31	35	8	57	48	167	76	21	339
URS00008CD9AE_10116:rRNA:Rattus_norvegicus	NA	551	534	2039	339	937	479	640	1459	573	576	6962	2424	327	13753	6284	48496	11972	2836	47264
URS00008CE58F_10116:rRNA:Rattus_norvegicus	NA	6	5	8	3	18	5	16	17	2	6	38	35	6	84	40	198	71	24	436
URS00008CE808_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	30	2	3	59	15	157	145	7	83
URS00008CF116_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	18	0	0	91	9	49	24	6	17
URS00008CF47F_10116:rRNA:Rattus_norvegicus	NA	357	469	779	217	577	202	485	727	214	294	6608	885	261	13563	3000	22301	5970	1758	30511
URS00008CF9CF_10116:rRNA:Rattus_norvegicus	NA	5	5	8	3	17	5	14	11	1	4	27	33	6	45	35	117	63	18	276
URS00008CFDE4_10116:rRNA:Rattus_norvegicus	NA	377	490	778	215	561	210	486	727	212	266	7105	824	242	15133	3374	22052	6220	1911	30063
URS00008D0477_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	31	35	8	57	48	167	76	21	339
URS00008D0F56_10116:rRNA:Rattus_norvegicus	NA	3955	2171	8117	1901	5799	2563	5302	11558	2404	2834	44345	17097	2611	95888	42677	299397	75996	20793	540936
URS00008D0FAE_10116:rRNA:Rattus_norvegicus	NA	166	279	411	105	259	89	130	323	156	105	2345	498	75	5927	1052	11206	2378	743	12421
URS00008D1573_10116:rRNA:Rattus_norvegicus	NA	330	456	738	208	550	192	462	654	209	280	6525	709	250	13330	2897	20670	5746	1703	28677
